,,total_reward_unweighted,total_reward_unweighted,total_reward_unweighted,total_energy_wh,total_energy_wh,total_energy_wh,agg_unsafe_rate,agg_unsafe_rate,agg_unsafe_rate,agg_qos_violation_rate,agg_qos_violation_rate,agg_qos_violation_rate,agg_dpdk_rate,agg_dpdk_rate,agg_dpdk_rate,agg_n_switches,agg_n_switches,agg_n_switches,mean_fleet_power_w,mean_fleet_power_w,mean_fleet_power_w,p95_fleet_power_w,p95_fleet_power_w,p95_fleet_power_w,max_fleet_power_w,max_fleet_power_w,max_fleet_power_w,pool_cap_w,pool_cap_w,pool_cap_w,pool_overrun_rate,pool_overrun_rate,pool_overrun_rate,pool_penalty_total,pool_penalty_total,pool_penalty_total
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
budget,budget_1750wh_l0p1,-16266.916368384176,109.40196958723637,3,1951.1409899252487,11.916016347638495,3,0.008325074331020811,0.0025131263296543052,3,0.008325074331020811,0.0025131263296543052,3,0.8883052527254708,0.02624941178943995,3,432.3333333333333,223.1912483349948,3,7.734949414966306,0.04723891515416989,3,8.221439096855692,0.0020655295400787955,3,8.370666948675739,0.12974557940553044,3,,,0,,,0,,,0
budget,budget_1800wh_l0p1,-15022.925551600043,1746.6426107129028,3,1963.26149291843,14.537277003024611,3,0.010505450941526264,0.0029781921112619855,3,0.010505450941526264,0.0029781921112619855,3,0.8809712586719525,0.014785708732396055,3,288.3333333333333,105.54777749120697,3,7.782998980846113,0.05763043410514952,3,9.072867113903486,1.4748776881810104,3,10.120257296030863,2.8701351146987686,3,,,0,,,0,,,0
budget,budget_1900wh_l0p1,-9193.106784641397,299.6994965663806,3,1964.1547013354386,8.237043780103196,3,0.007069705979517674,0.0020076002119905514,3,0.007069705979517674,0.0020076002119905514,3,0.9041625371655103,0.020799467226137545,3,433.6666666666667,164.1716581305474,3,7.7865399458293005,0.032654286541540394,3,8.220550876141415,0.002467768004244198,3,10.009199846053265,1.5141648839154251,3,,,0,,,0,,,0
budget,budget_2000wh_l0p1,-6743.965554753879,718.0228696196908,3,1949.2122899196313,9.674963208685561,3,0.010604558969276512,0.0039307298344998885,3,0.010604558969276512,0.0039307298344998885,3,0.8685827552031714,0.030497586971316104,3,416.6666666666667,111.03753119253568,3,7.72730342881916,0.03835466088676232,3,8.2578285170523,0.049465366139344845,3,8.70603031774076,0.5990283695042002,3,,,0,,,0,,,0
budget,budget_off,-5593.9403452387705,47.58505306505904,3,1965.7014099978715,2.143306374608557,3,0.005120581433762802,0.0002288801860018342,3,0.005120581433762802,0.0002288801860018342,3,0.9219359101420549,0.0026115169043900125,3,285.3333333333333,32.14550253664318,3,7.792671595630821,0.008496754706080288,3,8.218968684215323,0.00012271960018102863,3,8.243295324070537,0.016174662777539144,3,,,0,,,0,,,0
