,,total_reward_unweighted,total_reward_unweighted,total_reward_unweighted,total_energy_wh,total_energy_wh,total_energy_wh,agg_unsafe_rate,agg_unsafe_rate,agg_unsafe_rate,agg_qos_violation_rate,agg_qos_violation_rate,agg_qos_violation_rate,agg_dpdk_rate,agg_dpdk_rate,agg_dpdk_rate,agg_n_switches,agg_n_switches,agg_n_switches,mean_fleet_power_w,mean_fleet_power_w,mean_fleet_power_w,p95_fleet_power_w,p95_fleet_power_w,p95_fleet_power_w,max_fleet_power_w,max_fleet_power_w,max_fleet_power_w,pool_cap_w,pool_cap_w,pool_cap_w,pool_overrun_rate,pool_overrun_rate,pool_overrun_rate,pool_penalty_total,pool_penalty_total,pool_penalty_total
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lambda_sw,lambda_sw_16,-5588.769652637505,42.784240649225374,3,1973.0879175590844,4.578199019578593,3,0.004757185332011893,0.00019821605550049577,3,0.004757185332011893,0.00019821605550049577,3,0.9293690122233235,0.00486774133891698,3,282.0,62.385895841928885,3,7.821954083484985,0.018149451019142393,3,8.218856033301273,9.014990391012479e-05,3,8.242326137632977,0.019571250822331986,3,,,0,,,0,,,0
lambda_sw,lambda_sw_2,-5713.632391841569,124.83280942641412,3,1966.099180469796,10.186122195718514,3,0.005583085563263958,0.0006294205115050428,3,0.005583085563263958,0.0006294205115050428,3,0.9198876775685497,0.010197215936792889,3,294.0,48.662100242385755,3,7.794248485509608,0.04038105924962746,3,8.219130314470284,0.0002611321883382387,3,9.117455396727147,1.4963281885995638,3,,,0,,,0,,,0
lambda_sw,lambda_sw_4,-5593.9403452387705,47.58505306505935,3,1965.7014099978715,2.143306374608557,3,0.005120581433762802,0.0002288801860018342,3,0.005120581433762802,0.0002288801860018342,3,0.9219359101420549,0.0026115169043900125,3,285.3333333333333,32.14550253664318,3,7.792671595630821,0.008496754706080288,3,8.218968684215323,0.00012271960018102863,3,8.243295324070537,0.016174662777539144,3,,,0,,,0,,,0
lambda_sw,lambda_sw_8,-5600.898073698263,33.239517425773045,3,1968.6403005129312,4.185120715349308,3,0.005021473406012554,0.00020630981164183735,3,0.005021473406012554,0.00020630981164183735,3,0.9249752229930625,0.003968035920548614,3,284.0,26.0,3,7.80432230133968,0.016591162399799315,3,8.218878694398216,5.8342757818821596e-05,3,8.243714670222646,0.018065931745803013,3,,,0,,,0,,,0
